Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center
Buriano,18,,42.845210,10.988572
Castiglione della Pescaia,8,,42.763930,10.879092
Gavorrano,8,,42.925373,10.905803
Castellaccia,2,,42.923075,11.025743
Giuncarico,5,,42.906894,10.991649
Roccastrada,92,,43.009931,11.166532
Paganico,32,,43.132291,13.115876
Grosseto,26,,42.775110,11.287804
Dogana,22,,42.972899,11.317706
Cinigiano,42,,42.890407,11.392892
Porrona,4,,42.910529,11.407963
Castel del Piano,7,,42.893235,11.538380
Montalcino,172,,43.057558,11.490282
Castiglione d'Orcia,177,,43.007117,11.615541
Bagno Vignoni,10,,43.028123,11.618679
Pienza,56,,43.076549,11.678908
