Ort,Vorkommen,Strecke im Ort (km)
Hamburg,203,
Wiemerskamp,12,
Bargfeld-Stegen,29,
Nienwohld,11,
Sülfeld,21,
Grabau,27,
Travenbrück,25,
Neversdorf,6,
Bebensee,12,
Schwissel,11,
Traventhal,4,
Klein Gladebrügge,9,
Bad Segeberg,18,
Stipsdorf,10,
Quaal,8,
Wardersee,4,
Wensin,7,
Gnissau,4,
Ahrensbök,3,
Heuerstubben,1,
Barghorst,12,
Holstendorf,3,
Scharbeutz,34,
Sierksdorf,20,
Roge,8,
Neustadt in Holstein,30,
Merkendorf,7,
Logeberg,9,
Groß Schlamin,16,
Beschendorf,22,
Lensahn,26,
Oldenburg in Holstein,33,
Giddendorf,19,
Gremersdorf,10,
Meeschendorf,9,
Neukirchen,5,
Ölendorf,12,
Lütjenbrode,24,
Großenbrode,31,
Fehmarn,13,
