Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center,Nächster_Punkt_Index,Nächster_Punkt_Distanz_km,Nächster_Punkt_Hoehe_m,Distanz_Center_zu_Route_m
Wiemerskamp,12,,53.736,10.154,856,28.003,26.428,64.779
Bargfeld-Stegen,29,,53.767,10.200,965,34.173,36.966,639.267
Sülfeld,21,,53.800,10.231,1018,38.137,32.469,48.845
Neversdorf,6,,53.863,10.286,1230,49.410,33.855,614.900
Bebensee,12,,53.877,10.302,1259,51.141,34.055,253.816
Schwissel,11,,53.896,10.294,1287,53.471,35.639,37.111
Traventhal,4,,53.900,10.317,1329,55.594,23.477,474.915
Klein Gladebrügge,9,,53.916,10.320,1353,57.182,39.178,54.710
Stipsdorf,10,,53.942,10.335,1419,60.223,54.424,600.983
Quaal,8,,53.962,10.374,1458,64.617,38.369,46.766
Wensin,7,,53.994,10.419,1505,69.428,28.527,842.637
Gnissau,4,,53.999,10.482,1544,73.570,40.459,177.501
Ahrensbök,3,,54.013,10.575,1622,80.273,62.140,443.654
Sierksdorf,20,,54.067,10.769,1897,97.276,25.582,22.832
Neustadt in Holstein,30,,54.103,10.819,2069,103.681,14.361,311.998
Logeberg,9,,54.136,10.849,2180,108.194,15.235,52.129
Groß Schlamin,16,,54.166,10.865,2228,111.817,24.065,347.690
Beschendorf,22,,54.183,10.875,2262,114.435,23.978,293.440
Lensahn,26,,54.221,10.886,2351,118.470,13.940,215.976
Oldenburg in Holstein,33,,54.292,10.881,2519,126.777,2.698,300.630
Giddendorf,19,,54.310,10.928,2655,131.246,19.023,190.124
Lütjenbrode,24,,54.361,11.035,2891,143.165,12.539,31.402
Großenbrode,31,,54.362,11.084,2960,146.467,0.243,627.991
